Country_Code	Country_Name	Province_Name	Province_Type	Global_ID	R	G	B
ARG	Argentina	Entre Ríos	Province	1	0	0	1
ARG	Argentina	Salta	Province	2	0	0	2
ARG	Argentina	Jujuy	Province	3	0	0	3
ARG	Argentina	Formosa	Province	4	0	0	4
ARG	Argentina	Misiones	Province	5	0	0	5
ARG	Argentina	Chaco	Province	6	0	0	6
ARG	Argentina	Corrientes	Province	7	0	0	7
ARG	Argentina	Catamarca	Province	8	0	0	8
ARG	Argentina	La Rioja	Province	9	0	0	9
ARG	Argentina	San Juan	Province	10	0	0	10
ARG	Argentina	Mendoza	Province	11	0	0	11
ARG	Argentina	Neuquén	Province	12	0	0	12
ARG	Argentina	Chubut	Province	13	0	0	13
ARG	Argentina	Río Negro	Province	14	0	0	14
ARG	Argentina	Santa Cruz	Province	15	0	0	15
ARG	Argentina	Tierra del Fuego	National Territory	16	0	0	16
ARG	Argentina	Buenos Aires	Federal District	17	0	0	17
ARG	Argentina	Ciudad de Buenos Aires	Federal District	18	0	0	18
ARG	Argentina	Santa Fe	Province	19	0	0	19
ARG	Argentina	Tucumán	Province	20	0	0	20
ARG	Argentina	Santiago del Estero	Province	21	0	0	21
ARG	Argentina	San Luis	Province	22	0	0	22
ARG	Argentina	La Pampa	Province	23	0	0	23
ARG	Argentina	Córdoba	Province	24	0	0	24
URY	Uruguay	Paysandú	Department	25	0	0	25
URY	Uruguay	Artigas	Department	26	0	0	26
URY	Uruguay	Salto	Department	27	0	0	27
URY	Uruguay	Rivera	Department	28	0	0	28
URY	Uruguay	Rocha	Department	29	0	0	29
URY	Uruguay	Treinta y Tres	Department	30	0	0	30
URY	Uruguay	Cerro Largo	Department	31	0	0	31
URY	Uruguay	Maldonado	Department	32	0	0	32
URY	Uruguay	Canelones	Department	33	0	0	33
URY	Uruguay	Montevideo	Department	34	0	0	34
URY	Uruguay	San José	Department	35	0	0	35
URY	Uruguay	Colonia	Department	36	0	0	36
URY	Uruguay	Soriano	Department	37	0	0	37
URY	Uruguay	Río Negro	Department	38	0	0	38
URY	Uruguay	Tacuarembó	Department	39	0	0	39
URY	Uruguay	Durazno	Department	40	0	0	40
URY	Uruguay	Flores	Department	41	0	0	41
URY	Uruguay	Florida	Department	42	0	0	42
URY	Uruguay	Lavalleja	Department	43	0	0	43
IDN	Indonesia	Kalimantan Timur	Province	44	0	0	44
IDN	Indonesia	Nusa Tenggara Timur	Province	45	0	0	45
IDN	Indonesia	Kalimantan Barat	Province	46	0	0	46
IDN	Indonesia	Papua	Province	47	0	0	47
IDN	Indonesia	Jawa Timur	Province	48	0	0	48
IDN	Indonesia	Maluku	Province	49	0	0	49
IDN	Indonesia	Nusa Tenggara Barat	Province	50	0	0	50
IDN	Indonesia	Sulawesi Selatan	Province	51	0	0	51
IDN	Indonesia	Jawa Tengah	Province	52	0	0	52
IDN	Indonesia	Jawa Barat	Province	53	0	0	53
IDN	Indonesia	Jakarta Raya	Special district	54	0	0	54
IDN	Indonesia	Banten	Province	55	0	0	55
IDN	Indonesia	Yogyakarta	Special region	56	0	0	56
IDN	Indonesia	Sulawesi Tenggara	Province	57	0	0	57
IDN	Indonesia	Papua Barat	Province	58	0	0	58
IDN	Indonesia	Sulawesi Tengah	Province	59	0	0	59
IDN	Indonesia	Maluku Utara	Province	60	0	0	60
IDN	Indonesia	Kepulauan Riau	Province	61	0	0	61
IDN	Indonesia	Riau	Province	62	0	0	62
IDN	Indonesia	Gorontalo	Province	63	0	0	63
IDN	Indonesia	Sulawesi Utara	Province	64	0	0	64
IDN	Indonesia	Sulawesi Barat	Province	65	0	0	65
IDN	Indonesia	Jambi	Province	66	0	0	66
IDN	Indonesia	Sumatera Selatan	Province	67	0	0	67
IDN	Indonesia	Lampung	Province	68	0	0	68
IDN	Indonesia	Bengkulu	Province	69	0	0	69
IDN	Indonesia	Sumatera Barat	Province	70	0	0	70
IDN	Indonesia	Sumatera Utara	Province	71	0	0	71
IDN	Indonesia	Aceh	Autonomous Province	72	0	0	72
IDN	Indonesia	Kalimantan Tengah	Province	73	0	0	73
IDN	Indonesia	Kalimantan Selatan	Province	74	0	0	74
IDN	Indonesia	Bali	Province	75	0	0	75
IDN	Indonesia	Bangka-Belitung	Province	76	0	0	76
MYS	Malaysia	Sabah	State	77	0	0	77
MYS	Malaysia	Perlis	State	78	0	0	78
MYS	Malaysia	Kedah	State	79	0	0	79
MYS	Malaysia	Kelantan	State	80	0	0	80
MYS	Malaysia	Perak	State	81	0	0	81
MYS	Malaysia	Sarawak	State	82	0	0	82
MYS	Malaysia	Pulau Pinang	State	83	0	0	83
MYS	Malaysia	Selangor	State	84	0	0	84
MYS	Malaysia	Negeri Sembilan	State	85	0	0	85
MYS	Malaysia	Melaka	State	86	0	0	86
MYS	Malaysia	Johor	State	87	0	0	87
MYS	Malaysia	Pahang	State	88	0	0	88
MYS	Malaysia	Terengganu	State	89	0	0	89
